step,degree_2,degree_3,degree_4,degree_5,degree_6_plus,lizard_position,action,action_letters,reward
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,4,1,0,0,1,0,3,2,tp,-4.0,tp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,5,4,2,0,0,10,12,4,0,pa,2.0,pa
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,1,pt,-4.0,pt
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,5,4,2,0,0,10,12,4,0,pa,2.0,pa
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,6,2,0,0,12,14,7,0,ta,11.0,ta
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,6,2,0,0,12,14,7,0,ta,11.0,ta
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,10,12,4,2,ap,2.0,ap
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,4,1,0,0,1,0,3,2,tp,-4.0,tp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,5,4,2,0,0,10,12,4,0,pa,2.0,pa
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,6,2,0,0,12,14,7,0,ta,11.0,ta
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,12,6,7,1,at,2.0,at
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,5,4,2,0,0,10,12,4,0,pa,2.0,pa
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,12,6,7,1,at,2.0,at
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,4,1,0,0,1,0,3,2,tp,-4.0,tp
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,4,1,0,0,1,0,3,2,tp,-4.0,tp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,1,pt,-4.0,pt
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,10,12,4,2,ap,2.0,ap
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,12,6,7,1,at,2.0,at
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,1,pt,-4.0,pt
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,4,4,1,0,0,1,0,3,2,p,-2.0
2,4,4,1,0,0,1,0,3,2,pp,-4.0,pp
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,10,12,6,0,aa,2.0,aa
1,5,4,2,0,0,10,12,6,0,a,-2.0
2,5,4,2,0,0,10,12,4,2,ap,2.0,ap
1,4,4,1,0,0,1,0,3,1,t,-2.0
2,4,4,1,0,0,1,0,3,1,tt,-4.0,tt
